 entropy p
 96710.03546194211 7190950.050530045
 96682.01892374133 8125395.700506996
 96654.12236641135 9059841.350483947
 96626.3446458305 9994287.000460897
 96598.68463509488 1.0928732650437847E7
 96571.14122416396 1.1863178300414797E7
 96543.71331951507 1.2797623950391747E7
 96516.3998438063 1.3732069600368697E7
 96489.1997355495 1.4666515250345647E7
 96462.11194878994 1.5600960900322597E7
 96435.13545279574 1.6535406550299548E7
 96408.26923175427 1.7469852200276498E7
 96381.51228447643 1.8404297850253448E7
 96354.86362410846 1.9338743500230398E7
 96328.3222778509 2.027318915020735E7
 96301.88728668464 2.12076348001843E7
 96275.55770510336 2.214208045016125E7
 96249.33260085329 2.30765261001382E7
 96223.21105467857 2.401097175011515E7
 96197.19216007335 2.49454174000921E7
 96171.27502303946 2.587986305006905E7
 96145.4587618505 2.6814308700046E7
 96119.74250682064 2.774875435002295E7
 96094.12540008035 2.86831999999999E7

 185587.14823830518 649830.5006913895
 185831.5182380923 632212.609487485
 186082.3073964939 614594.7182835805
 186339.89175433276 596976.827079676
 186604.68112807084 579358.9358757715
 186877.12328353839 561741.0446718669
 187157.70877490006 544123.1534679624
 187446.9765802976 526505.2622640579
 187745.52069694127 508887.37106015335
 188053.99789859264 491269.4798562488
 188373.13691029968 473651.5886523443
 188703.74932291658 456033.6974484398
 189046.74265896482 438415.80624453526
 189403.13611965 420797.91504063073
 189774.07970161518 403180.0238367262
 190160.87758758993 385562.1326328217
 190565.01701143113 367944.24142891716
 190988.20421086802 350326.35022501263
 191432.40966472952 332708.4590211081
 191899.9256492609 315090.5678172036
 192393.44037230115 297472.67661329906
 192916.13476733505 279854.78540939454
 193471.81080318097 262236.89420549
 194065.06448590112 244619.0030015855
 194701.52364140537 227001.11179768096
 195388.18196082592 209383.22059377644
 196133.88022591243 191765.3293898719
 196950.0201167842 174147.4381859674
 197851.66006892596 156529.54698206286
 198859.26829867094 138911.65577815834

 98657.85335390196 809964.9736504011
 98627.21341166351 1739072.8078620515
 98596.71950626309 2668180.642073702
 98566.3700811507 3597288.4762853524
 98536.16360598024 4526396.310497003
 98506.09857600782 5455504.144708653
 98476.173511503 6384611.978920303
 98446.38695716861 7313719.813131954
 98416.73748161338 8242827.647343604
 98387.22367679031 9171935.481555255
 98357.84415748596 1.0101043315766906E7
 98328.59756081252 1.1030151149978558E7
 98299.48254571483 1.1959258984190209E7
 98270.4977924911 1.288836681840186E7
 98241.64200232785 1.3817474652613511E7
 98212.9138968472 1.4746582486825163E7
 98184.31221766656 1.5675690321036814E7
 98155.83572597078 1.6604798155248465E7
 98127.48320209527 1.7533905989460114E7
 98099.25344512098 1.8463013823671766E7
 98071.1452724796 1.9392121657883417E7
 98043.15751957029 2.0321229492095068E7
 98015.28903938574 2.125033732630672E7
 97987.53870214801 2.217944516051837E7
 97959.90539495464 2.310855299473002E7
 97932.38802143361 2.4037660828941673E7
 97904.98550140722 2.4966768663153324E7
 97877.6967705643 2.5895876497364976E7
 97850.52078014184 2.6824984331576627E7
 97823.45649661329 2.7754092165788278E7

 184338.0537547779 809964.9736504011
 184597.12335474408 787009.2666811962
 184863.20625494912 764053.5597119912
 185136.73479099933 741097.8527427863
 185418.18206395456 718142.1457735813
 185708.06724048324 695186.4388043764
 186006.96174322974 672230.7318351715
 186315.4965170802 649275.0248659665
 186634.3706038282 626319.3178967616
 186964.36131856075 603363.6109275566
 187306.33640078438 580407.9039583517
 187661.26861877248 557452.1969891468
 188030.25344658337 534496.4900199418
 188414.5306237309 511540.78305073694
 188815.51066808487 488585.07608153205
 189234.8077736307 465629.3691123272
 189674.28103200416 442673.6621431223
 190136.08664043766 419717.9551739174
 190622.74480868113 396762.2482047125
 191137.22662892414 373806.54123550764
 191683.0685124899 350850.83426630276
 192264.52540641045 327895.1272970979
 192886.77971370882 304939.420327893
 193556.23213844319 281983.7133586881
 194280.91631182775 259028.0063894832
 195071.1063463889 236072.2994202783
 195940.23619945746 213116.59245107337
 196906.34507397737 190160.88548186846
 197994.457270164 167205.17851266355
 199240.73058725454 144249.47154345864

 100390.37029499575 999716.7909934947
 100357.83098261178 1922499.564627042
 100325.45816709397 2845282.338260589
 100293.24993908651 3768065.1118941363
 100261.20442382246 4690847.885527683
 100229.3197802676 5613630.659161231
 100197.59420028748 6536413.432794778
 100166.02590784301 7459196.206428325
 100134.61315821094 8381978.980061872
 100103.35423722776 9304761.753695419
 100072.24746055724 1.0227544527328966E7
 100041.29117297979 1.1150327300962513E7
 100010.48374770432 1.207311007459606E7
 99979.82358569854 1.2995892848229608E7
 99949.3091150421 1.3918675621863155E7
 99918.93879029629 1.4841458395496702E7
 99888.71109189393 1.5764241169130249E7
 99858.62452554677 1.6687023942763796E7
 99828.67762166928 1.7609806716397345E7
 99798.86893482045 1.8532589490030892E7
 99769.19704316046 1.945537226366444E7
 99739.66054792338 2.0378155037297986E7
 99710.25807290451 2.1300937810931534E7
 99680.9882639627 2.222372058456508E7
 99651.84978853601 2.3146503358198628E7
 99622.84133517112 2.4069286131832175E7
 99593.96161306572 2.4992068905465722E7
 99565.2093516237 2.591485167909927E7
 99536.58330002191 2.6837634452732816E7
 99508.08222678924 2.7760417226366363E7
 99479.70491939712 2.868319999999991E7

 183142.6956148746 999716.7909934947
 183414.69741804156 970436.0234461867
 183694.17502378995 941155.2558988787
 183981.6081613354 911874.4883515707
 184277.52343406912 882593.7208042627
 184582.5006500268 853312.9532569547
 184897.18025799826 824032.1857096467
 185222.2721294327 794751.4181623387
 185558.56598944758 765470.6506150307
 185906.94388311912 736189.8830677227
 186268.39517303943 706909.1155204147
 186644.03471112798 677628.3479731067
 187035.12502669307 648347.5804257987
 187443.1036454087 619066.8128784907
 187869.61703237536 589786.0453311827
 188316.56318534102 560505.2777838747
 188786.14566616892 531224.5102365667
 189280.94296686965 501943.74268925865
 189803.99874865357 472662.97514195065
 190358.9409765211 443382.20759464265
 190950.1418169598 414101.44004733465
 191582.93627330515 384820.67250002665
