 gibbs p
 -3.166252085264261E8 149070.17380467756
 -3.167140430114812E8 145102.11534318852
 -3.1680536710039127E8 141134.05688169948
 -3.1689932279744476E8 137165.99842021044
 -3.169960646153466E8 133197.9399587214
 -3.170957610888384E8 129229.88149723235
 -3.171985965244296E8 125261.82303574329
 -3.173047730318662E8 121293.76457425424

 -3.158551591404066E8 314024.434670569
 -3.1583309884539676E8 1259663.620181547
 -3.158110461428764E8 2205302.805692525
 -3.157890009946329E8 3150941.991203503
 -3.1576696336280155E8 4096581.1767144813
 -3.157449332098609E8 5042220.36222546
 -3.1572291049862826E8 5987859.547736438
 -3.1570089519225496E8 6933498.733247416
 -3.156788872542219E8 7879137.918758394
 -3.1565688664833575E8 8824777.104269372
 -3.156348933387236E8 9770416.28978035
 -3.156129072898295E8 1.0716055475291329E7
 -3.1559092846641004E8 1.1661694660802307E7
 -3.155689568335303E8 1.2607333846313285E7
 -3.155469923565601E8 1.3552973031824263E7
 -3.1552503500116944E8 1.449861221733524E7
 -3.155030847333252E8 1.5444251402846219E7
 -3.15481141519287E8 1.6389890588357197E7
 -3.154592053256037E8 1.7335529773868173E7
 -3.154372761191095E8 1.828116895937915E7
 -3.154153538669206E8 1.922680814489013E7
 -3.1539343853643113E8 2.0172447330401108E7
 -3.153715300953105E8 2.1118086515912086E7
 -3.1534962851149905E8 2.2063725701423064E7
 -3.1532773375320524E8 2.3009364886934042E7
 -3.153058457889021E8 2.395500407244502E7
 -3.1528396458732414E8 2.4900643257956E7
 -3.1526209011746395E8 2.5846282443466976E7
 -3.152402223485692E8 2.6791921628977954E7
 -3.1521836125013936E8 2.7737560814488932E7
 -3.1519650679192275E8 2.868319999999991E7

 -3.1585515914040667E8 314024.434670569
 -3.1592397675688654E8 307600.0790006919
 -3.159942786911641E8 301175.72333081474
 -3.160661289325467E8 294751.3676609376
 -3.161395957012708E8 288327.01199106046
 -3.16214751829914E8 281902.6563211833
 -3.1629167518877697E8 275478.30065130617
 -3.16370449161468E8 269053.944981429
 -3.1645116317796576E8 262629.5893115519
 -3.165339133137081E8 256205.2336416747
 -3.166188029647678E8 249780.87797179754
 -3.167059436110156E8 243356.52230192037
 -3.167954556813975E8 236932.1666320432
 -3.168874695381762E8 230507.81096216603
 -3.169821266003189E8 224083.45529228885
 -3.170795806303261E8 217659.09962241168
 -3.171799992138937E8 211234.7439525345
 -3.172835654681591E8 204810.38828265734
 -3.1739048002225906E8 198386.03261278017
 -3.17500963324013E8 191961.676942903
 -3.1761525833937204E8 185537.32127302582
 -3.1773363372772557E8 179112.96560314865
 -3.1785638759741557E8 172688.60993327148
 -3.1798385197352266E8 166264.2542633943
 -3.1811639814644545E8 159839.89859351714
 -3.1825444311822474E8 153415.54292363997
 -3.1839845742859435E8 146991.1872537628
 -3.185489747310324E8 140566.83158388562
 -3.187066036104756E8 134142.47591400845
 -3.188720423034588E8 127718.12024413128
 -3.190460972204689E8 121293.7645742541

 -3.1666836847722596E8 404956.57224912854
 -3.166461588285825E8 1347564.686507488
 -3.166239575517162E8 2290172.8007658473
 -3.166017646018609E8 3232780.915024207
 -3.165795799346851E8 4175389.029282566
 -3.165574035062864E8 5117997.143540925
 -3.165352352731846E8 6060605.2577992845
 -3.165130751923158E8 7003213.372057644
 -3.1649092322102666E8 7945821.486316003
 -3.164687793170684E8 8888429.600574363
 -3.1644664343859124E8 9831037.714832723
 -3.1642451554413855E8 1.0773645829091083E7
 -3.1640239559264183E8 1.1716253943349443E7
 -3.1638028354341465E8 1.2658862057607803E7
 -3.163581793561478E8 1.3601470171866164E7
 -3.163360829909041E8 1.4544078286124524E7
 -3.163139944081131E8 1.5486686400382884E7
 -3.162919135685662E8 1.6429294514641244E7
 -3.1626984043341166E8 1.7371902628899604E7
 -3.1624777496414965E8 1.8314510743157964E7
 -3.1622571712262815E8 1.9257118857416324E7
 -3.1620366687103724E8 2.0199726971674684E7
 -3.1618162417190546E8 2.1142335085933045E7
 -3.1615958898809475E8 2.2084943200191405E7
 -3.1613756128279644E8 2.3027551314449765E7
 -3.161155410195266E8 2.3970159428708125E7
 -3.16093528162122E8 2.4912767542966485E7
 -3.160715226747356E8 2.5855375657224845E7
 -3.16049524521833E8 2.6797983771483205E7
 -3.160275336681879E8 2.7740591885741565E7

 -3.1666836847722596E8 404956.57224912854
 -3.167483443117871E8 395501.1453266327
 -3.16830307511768E8 386045.7184041369
 -3.1691435659613013E8 376590.29148164106
 -3.170005976007851E8 367134.86455914524
 -3.1708914486329186E8 357679.4376366494
 -3.171801219126996E8 348224.0107141536
 -3.17273662481906E8 338768.58379165776
 -3.17369911663351E8 329313.15686916193
 -3.174690272331072E8 319857.7299466661
 -3.175711811737003E8 310402.3030241703
 -3.1767656143256044E8 300946.87610167445
 -3.177853739612593E8 291491.4491791786
 -3.178978450911136E8 282036.0222566828
 -3.180142243140131E8 272580.595334187
 -3.1813478755435807E8 263125.16841169115
 -3.182598410400084E8 253669.74148919532
 -3.183897259088594E8 244214.3145666995
 -3.185248237254509E8 234758.88764420367
 -3.186655631322495E8 225303.46072170784
 -3.18812427927723E8 215848.03379921202
 -3.189659669550144E8 206392.6068767162
 -3.191268063111527E8 196937.17995422037
 -3.1929566456257844E8 187481.75303172454
 -3.194733719015103E8 178026.3261092287
 -3.196608945352046E8 168570.8991867329
 -3.1985936612308735E8 159115.47226423706
 -3.200701288564681E8 149660.04534174124
 -3.202947879632804E8 140204.6184192454
 -3.2053528527313626E8 130749.19149674958

 -3.17496943196266E8 515896.12736229884
 -3.174745883085478E8 1454806.2564502193
 -3.1745224265918803E8 2393716.38553814
 -3.174299061956176E8 3332626.51462606
 -3.174075788658134E8 4271536.643713981
 -3.173852606182891E8 5210446.772801901
 -3.173629514020878E8 6149356.9018898215
 -3.17340651166773E8 7088267.030977742
 -3.173183598624212E8 8027177.160065662
 -3.172960774396143E8 8966087.289153583
 -3.1727380384943116E8 9904997.418241505
 -3.172515390434412E8 1.0843907547329426E7
 -3.1722928297369635E8 1.1782817676417347E7
 -3.1720703559272414E8 1.2721727805505268E7
 -3.1718479685352063E8 1.366063793459319E7
 -3.1716256670954365E8 1.459954806368111E7
 -3.171403451147058E8 1.5538458192769032E7
 -3.171181320233681E8 1.6477368321856953E7
 -3.170959273903333E8 1.7416278450944874E7
 -3.1707373117083967E8 1.8355188580032796E7
 -3.170515433205548E8 1.9294098709120717E7
 -3.1702936379556906E8 2.0233008838208638E7
 -3.170071925523902E8 2.117191896729656E7
 -3.1698502954793704E8 2.211082909638448E7
 -3.1696287473953396E8 2.30497392254724E7
 -3.169407280849049E8 2.3988649354560323E7
 -3.1691858954216814E8 2.4927559483648244E7
 -3.1689645906983054E8 2.5866469612736166E7
 -3.168743366267824E8 2.6805379741824087E7
 -3.168522221722923E8 2.7744289870912008E7

 -3.1749694319626606E8 515896.12736229884
 -3.175857283116629E8 502742.715269364
 -3.176769445025133E8 489589.3031764292
 -3.1777072408855844E8 476435.89108349435
 -3.178672105054831E8 463282.4789905595
 -3.1796655958591473E8 450129.0668976247
 -3.180689410304397E8 436975.65480468987
 -3.181745401034944E8 423822.24271175504
 -3.1828355959669125E8 410668.8306188202
 -3.183962221118369E8 397515.4185258854
 -3.1851277272822124E8 384362.00643295055
